Months since started cubing	Months since started speedcubing	Best 3x3 single	Best 3x3 Ao5	Best 3x3 Ao12	Best 3x3 Ao100	Known algorithm sets
72	72	8.42	12.29	13.6	14.72	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
12	12					Just whatever I have for beginners method
72	72	11.31	15.71	16.86	17.88	OLL, PLL
36	18	6.42	9	9.78	10.42	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), WV, A couple of 2nd and 3rd variations of OLL to preserve bars
12	6	13.8	17.6	19	20.72	OLL, PLL
48	12	15.62	19.74	21.15	25.14	Just whatever I have for beginners method, PLL
	12	21.28	25.4	27.65		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
24	24	7.48	9.65	10.72	11.79	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights)
120	6	13.78	19.64	21.29	24.77	OCLL (the corners part of 2-look OLL), PLL
12	12	34				
48	48	22.77			29.05	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS (intuitive is fine)
12	48	15.94	21.16	22.89	25.71	CLL
12	3	19.77	23.5	25.78		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	120	6.94	10.66	11.34	12.69	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS, OLLCP (50% or greater), CPEOLL
24	1					Beginner
60	12	13.57	18.59	20.24	22.06	Just whatever I have for beginners method, OLL, PLL
60	6	10.2	13.95	15.39	16.83	OLL, PLL
180	6	16	22			Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	5.99	8.28	9.38	10.81	OLL, PLL, COLL - H (Doublesune)
3	3	12.87	20.87	27.97	24.57	PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
120	60	10.14	16.07	16.88	18.4	PLL, CMLL
120	72	8.53	12.19	13.35	14.64	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune)
18	12	12.77	15.89	17.45	19.57	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - L (Bowtie)
72	48	7.74	9.51	10.28	10.93	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
48	3	18.12	20.34	20.87	25.91	Just whatever I have for beginners method, CLL, CMLL, Roux...
120	36	6.81	8.27	9.55	10.3	OLL, PLL
24	18					PLL
9	72	9	11.75	12.59	13.57	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
12	12	6.23	7.34			OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), ELL, CLL, COLL - Pi (Bruno), 2GLL - T, 2GLL - U, 2GLL - L, ZBLL - S
3	3	19.7	25.26	26.46	28.27	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
72	18	12.32	18.6	19.34	20.09	EOLL (non-corner-preserving - the edge part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	24	13.17	18.74	19.82	21.76	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
72	60	7	9.76	10.62	11.73	OLL, PLL
120	12					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
72	60	7.93	10.39	11.36	12.95	OLL, PLL
12	6	10.81	15.1	17.9		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL
12	12	11.53	15.47	17	19	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	16.55	20.42	22.09	24.02	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
180	36	27.97	35.75	39.9	44.75	PLL
24	12	8.47	12.43	13.15	13.49	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune)
24	12	20.2	24.5	27.9	31.46	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	18	9.64	11.98	13.32	13.98	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - Pi (Bruno)
72	36	6.39	8.52	9.9	10.54	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CLL, CMLL, COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune)
24	24	9.88	13.1	14.3	16.88	OLL, PLL, Magic Wondeful
60	18	18.59	22.75	24.25	28.23	OLL, PLL, COLL - H (Doublesune)
24	18					PLL
3	3	1:12.19	1:20.35	1:56.50		Just whatever I have for beginners method
36	36	6.47	9.22	10.04	10.56	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
12	12	13.97	19.64	20.73	22.48	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
48	3	17.7	26			OLL, PLL
120	120	5.05	7.5	8.5	9.5	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, ZBLL - T, ZBLL - U, VHLS (intuitive is fine), WV
120	6	12.28	18.93	20.47	22.19	OLL, PLL
48	48	11.8	16.39	17.31	19.38	OLL, PLL
48	48	2.83	5.7	6.34	6.95	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U, 2GLL - L, ZBLL - U
48	18	11.92	14.48	15.15	16.43	PLL
12	12	9.22	12.15	12.81	13.43	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	6	18.17	21.66	22.92	24.67	PLL
60	48	3.65	5.83	6.55	7.08	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - Pi (Bruno), WV
36	36	9.74	13.33	14.18	15.27	EOLL (non-corner-preserving - the edge part of 2-look OLL), OLL, PLL, COLL - Pi (Bruno)
60	48	4.88	7.34	7.98	8.58	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - S (Sune), COLL - AS (Antisune)
180	24	45	1:05	1:10		Just whatever I have for beginners method
24	18	21.61	29.73	31.3	34.2	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
12	18	13.56	18			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
120	72	5.21	7.71	8.4	9.5	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), 3style
12	12	10.46	14.35			Just whatever I have for beginners method, OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	6	14.88	20.07			EPLL (PLL for edges, i.e. U/H/Z perms), CMLL
48	48	7.27	9.92	10.46		OLL, PLL, COLL - H (Doublesune)
18	12	10.5	15	15	20	OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	18					OLL, PLL
3	3	25.11	36.15	40.16	45.23	PLL
18	18	10.63	12.77	13.98	15.3	OLL, PLL
120	48	11.78	15.79	16.87	18.18	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	3	8.47	10.88	11.34	12.21	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	3	23	32	32	32	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
180	180	25.26	45.38	49.29		OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
48	36	7.85	10.52	11.5	13.27	Just whatever I have for beginners method, Oll is missing like 8 algs, Pll about 4
72	12	8.59	11.85	12.78	14.19	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, WV
1	1	25.95	37.43	38.6	48.2	OLL, PLL
12	24	9.31	13	14	14	CMLL, COLL - H (Doublesune)
60	18	7.7	11.45	12.37	13.58	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, PLL
12	12	11.64	15.42			OLL, PLL, COLL - U (Headlights), COLL - Pi (Bruno), WV
24	36	9.4	13.56	15.48	16.6	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	120	8.64	13.75	14.77	15.71	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
48	48	14	17	21	24	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms)
24	12	11.47	15.18	17.12	19.8	OCLL (the corners part of 2-look OLL), CMLL
120	12	10	10.91		17.65	OLL, PLL
24	24	10.37	13.48	14.93	16.14	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24	12.4	14.35	16.25	17.96	Just whatever I have for beginners method, OLL, PLL
24	18	8.61	11.88	12.51	13.48	OLL, PLL
120	72	5.73	7.74	8.51	9.33	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - U, ZBLL - U
18	12	6.67	9.79	10.67	11.56	OLL, PLL, WV
12	12	9.96	12.5	13.8	14.9	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), COLL - Pi (Bruno), WV
72	72	11.23	14.89	16.2	17.97	EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune)
24	18	9.63	12.41	13.13	13.89	OLL, PLL
3	3	18.5	27	28.4	29	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
12	3	19.54	25	30		OCLL (the corners part of 2-look OLL), PLL
72	12	12.95	16.02	16.71	18.78	OLL, PLL
12	6					OLL, PLL
60	60	7.17	11.6	12.65	13.5	PLL
18	18	3.46	9.2	9.71	10.21	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL
72	60	9.71	12.81	14.14	15.62	OLL, PLL
48	1					EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	12	10.42	13.26	14.6	16.36	EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	3		01:05	01:05	01:18	Just whatever I have for beginners method
3	6	22.96	24.8	29.01	33.14	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL
						
24	24	12.71	15.09	16.47	18.56	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	6	13.9	30.24			Just whatever I have for beginners method, OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS (intuitive is fine), Magic Wondeful, WV, SV, HLS, CLS, mgls
36	36	10.56	14.47	15.51	16.58	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), WV, OLS, other (any)
120	120	11.69	15	16.67	18.83	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
12	12	11.96	15.05	15.96	18.85	EOLL (non-corner-preserving - the edge part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS (intuitive is fine), WV
60	60	6.78	8.5	9.27	9.59	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	18	7.68	10.43	11.05	12.73	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
24	36	27.4	45.2	51.34	56	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), COLL - T (Chameleon), COLL - L (Bowtie), COLL - S (Sune), COLL - AS (Antisune)
72	60	13.82	16.55	18	19.5	OLL, PLL
36	18					Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
8	6					OLL, PLL, COLL - H (Doublesune), COLL - Pi (Bruno)
3	24	5.89	8.69	9.43	9.91	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), ELL, CMLL, COLL - H (Doublesune), VHLS (intuitive is fine), EOLR
72	12	5.5	7.83	9.02	9.68	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, ZBLL - T
18		12.78	17.59	19.03	21.34	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	120	15.29	21.28	23.16	25.29	OCLL (the corners part of 2-look OLL), PLL
18	18	11.1	16.4	17.3	18.91	OLL, PLL, CMLL
60		35.6	41.35	46.62		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
72	72	6.67	8.94	9.47	10.66	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), COLL - Pi (Bruno)
48	48	10.48	12.64	13.53	14.84	OLL, PLL
12	12	8.35	10.35	10.88	12.45	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U, ZBLL - T, WV
120	120	9.92	12.35	13.79	14.1	OLL, PLL
24	24	6.58	8.24			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS (intuitive is fine)
24	24	22.53				CLL
120	120					OLL, PLL
48	3	12.04	18.9	21.56	22.57	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), VHLS (intuitive is fine), WV, ELS
24	24		23.86	24.6	26.83	PLL, COLL - U (Headlights), COLL - H (Doublesune), COLL - S (Sune), COLL - AS (Antisune)
18	180	26	35	35	47	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	3	1:11.33	1:10.37	1:26.12	1:41.85	EPLL (PLL for edges, i.e. U/H/Z perms)
12	12	8.15	10.39	11.14	12.27	OLL, PLL, COLL - U (Headlights), COLL - H (Doublesune), COLL - Pi (Bruno)
12	12	13.19	17.2	18.14	20.56	OLL, PLL
24	1	40	50	55	59	Just whatever I have for beginners method
12	12	27.11	32.94	35.19	38.77	OLL, PLL
12	6	22				OLL, PLL
12	6	8.79	11.24	12.19	13.66	OLL, PLL, WV
36	36	8.72	10.19	11.82	12.65	Just whatever I have for beginners method, OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), ZZLL
60	48	18.62	25.65	28.5	31.93	Just whatever I have for beginners method
60	48	20.17	25.44	26.03	27.34	OLL, PLL
48	48	5.84	7.8	8.66	9.35	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	9.73	13.69	14.33	15.9	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - H (Doublesune), COLL - Pi (Bruno)
3	1	18.18	25.34	30.43	35.72	PLL, COLL - L (Bowtie), COLL - H (Doublesune), COLL - S (Sune), COLL - AS (Antisune), VHLS (intuitive is fine)
60	48					Just whatever I have for beginners method, OLL, PLL, COLL - U (Headlights)
60	60	6.5	9.5	10.2	11.1	OLL, PLL
12	12	13.4	17.75	19.6	21.51	OLL, PLL
120	120					Just whatever I have for beginners method
60	1	25.97	35.97	39.74	43.97	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
12	3	45	58			OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	72	8.36	9.8			Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, WV
72	72	6.1	8.69	9.26	9.92	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, WV
24	18	21				Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL)
48	48	7.02		12.18	12.73	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	72	8.49	12.99	14.95	16.35	OLL, PLL
24	24	12.54	19.86	21.2	25.43	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
